"name","email","phone","company","source","status","company_size","interactions_count","previous_deals","deal_value","days_since_last_interaction","converted"
"Rowan Sawyer","lead001@example.test","+1-202-555-1001","Horizon Commerce 1","Google Ads","qualified","1766","7","4","142803.36","86","1"
"Kendall Dawson","lead002@example.test","+1-202-555-1002","Lighthouse Analytics 2","Cold Call","converted","626","5","4","73541.6","88","1"
"Morgan Whitaker","lead003@example.test","+1-202-555-1003","Evergreen Labs 3","Website","qualified","1222","15","2","188861.85","165","1"
"Rowan Ellis","lead004@example.test","+1-202-555-1004","Lighthouse Health 4","Cold Call","new","813","13","4","102409.67","148","1"
"Sage Turner","lead005@example.test","+1-202-555-1005","Keystone Systems 5","Website","lost","1466","12","4","174386.4","128","0"
"Cameron West","lead006@example.test","+1-202-555-1006","Brightline Commerce 6","LinkedIn","contacted","1765","2","4","54585.36","153","0"
"Rowan Bennett","lead007@example.test","+1-202-555-1007","Summit Analytics 7","Website","contacted","1800","10","0","97678.06","37","0"
"Rowan Keller","lead008@example.test","+1-202-555-1008","Horizon Labs 8","Referral","contacted","1929","9","2","133067.04","178","0"
"Finley Young","lead009@example.test","+1-202-555-1009","Evergreen Partners 9","Google Ads","lost","345","5","5","182441.58","123","0"
"Casey Reed","lead010@example.test","+1-202-555-1010","Clearpath Solutions 10","Email Campaign","new","900","13","4","11928.83","168","1"
"Cameron Dawson","lead011@example.test","+1-202-555-1011","Keystone Media 11","LinkedIn","contacted","1028","13","0","88852.12","60","0"
"Reese Harper","lead012@example.test","+1-202-555-1012","Northstar Works 12","LinkedIn","converted","825","10","4","150631.08","34","1"
"Rowan Foster","lead013@example.test","+1-202-555-1013","Cedar Systems 13","Google Ads","new","1064","3","3","153237.3","83","0"
"Reese Jensen","lead014@example.test","+1-202-555-1014","Horizon Analytics 14","Cold Call","qualified","1066","14","3","195151.9","5","1"
"Jamie Palmer","lead015@example.test","+1-202-555-1015","Brightline Systems 15","Google Ads","lost","830","4","5","127752.81","10","0"
"Hayden Foster","lead016@example.test","+1-202-555-1016","Pioneer Analytics 16","Website","contacted","1098","10","5","159839.12","134","0"
"Hayden Sawyer","lead017@example.test","+1-202-555-1017","Clearpath Logistics 17","Email Campaign","qualified","16","7","1","120562.75","71","0"
"Reese Harper","lead018@example.test","+1-202-555-1018","Pioneer Ventures 18","LinkedIn","contacted","307","0","2","47809.37","23","0"
